"","district","ward","location","strategy","vaccination_year","total_dogs","vaccine_bundle","labour_VX_cost","perdiem_VX_cost","travel_VX_cost","fuel_VX_cost","vehicle_rent_VL","HH_wait","HH_trav","Household_costs","zeepot_cost","refrigeration_cost","labour_NVX_cost","perdiem_NVX_cost","travel_NVX_cost","vehicle_rent_NVL","fuel_NVX_cost","main_total","cost_per_dog","Vacc_delivery","vacc_storage","non_vacc_NV","total_total","perDog_cost"
"43","Bunda Town Council","Sazira","urban","pulsed","first_year",636,393.889347646573,299.010412881916,272.50206440958,15.9754591246904,6.59509134630089,31.9738039636665,209.516676915949,210.744547614307,420.261224530258,0,6.62074502247914,1083.5007094828,24.7729149463254,0,63.2753578309936,13.0515207180067,2657.49196046401,4.178446478717,1019.94617937273,6.62074502247914,1184.60050297813,2631.42865190359,4.13746643381068
"44","Bunda Town Council","Sazira","urban","pulsed","second_year",774,479.355904211396,267.03245251858,272.502064409579,26.300710982659,10.7794203443741,52.2599392237821,236.024869615777,237.408091351397,473.432960967177,0,11.242774566474,1040.91284821113,0,0,31.6376789154968,6.52576035900337,2671.98251470965,3.45217379161453,1108.23049169037,11.242774566474,1079.07628748563,2671.98251470965,3.45217379161453
"45","Bunda Town Council","Sazira","urban","pulsed","third_year",598,370.355078447564,231.164389760529,272.50206440958,18.0118282411231,7.37529570755727,35.7563294797689,193.203942946824,194.336213006867,387.540155953693,0,10.9929351316635,1060.55570535398,0,0,63.2753578309936,13.0515207180067,2470.58066103446,4.13140578768305,935.164986046122,10.9929351316635,1136.88258390298,2470.58066103446,4.13140578768305
"46","Butiama","Bisumwa","rural","continuous","first_year",723,447.770437654831,152.773255986788,49.5458298926507,13.107333608588,5.46221607486926,26.4814870355079,109.617244752066,129.306084025126,260.329573615316,2.7046396127239,21.1573538856776,553.656591063935,72.5492509142389,12.0383436601268,38.6728248031569,7.97686795372045,1657.45722954413,2.2924719634082,695.140560253235,23.8619934984015,684.893878395178,1664.22600576213,2.30183403286602
"47","Butiama","Bisumwa","rural","continuous","second_year",949,587.737407101569,401.285909165979,49.5458298926508,74.5425821635014,32.4977661635624,157.553117919076,106.857098301474,126.050175434565,276.404763247108,2.7046396127239,21.0992292870905,515.799707732568,0,5.73882321930818,11.0493785151877,2.27910512963442,2135.53361953723,2.25029886147232,1303.16261240634,23.8038688998144,534.867014596698,2138.23825914996,2.25314885052683
"48","Butiama","Bisumwa","rural","continuous","third_year",717,444.054500412882,350.771270024773,49.5458298926508,43.9683641618498,18.442461579044,89.4112939719242,168.763240121886,199.075553822855,382.90879031078,2.7046396127239,21.0992292870905,491.799707732568,0,5.73882321930818,11.0493785151877,2.27910512963442,1911.06875423769,2.66536785807209,996.193720043124,23.8038688998144,510.867014596698,1913.77339385042,2.66914001931718
"49","Butiama","Buhemba","rural","continuous","first_year",691,427.952105697771,237.821132947977,37.159372419488,18.1839157720892,7.48664686362664,36.2961734104047,129.726883177805,153.027703756354,303.818331854873,2.7046396127239,21.1573538856776,467.147920543704,60.162793441076,11.1808164523357,33.1481355455631,6.83731538890325,1666.84050932754,2.41221491943204,764.899347111356,23.8619934984015,578.476981371582,1671.05665383621,2.41831643102202
"50","Butiama","Buhemba","rural","continuous","second_year",462,286.127167630058,200.1959223782,37.159372419488,9.26404541701075,3.97246722176347,19.2590036333609,96.9994324065043,114.421930468277,219.127611016506,2.7046396127239,21.0992292870905,395.799707732568,0,5.73882321930818,11.0493785151877,2.27910512963442,1211.07183360017,2.62136760519518,555.977978699881,23.8038688998144,414.867014596698,1213.7764732129,2.62722180349112
"51","Butiama","Buhemba","rural","continuous","third_year",809,501.03220478943,267.213500412882,37.159372419488,19.5319347646573,9.62828112670888,46.6790764657309,66.2435148141981,78.1418061734572,208.946555419438,2.7046396127239,21.0992292870905,413.799707732568,0,5.73882321930818,11.0493785151877,2.27910512963442,1544.15716928212,1.90872332420534,881.244369978898,23.8038688998144,432.867014596698,1546.86180889485,1.91206651284901
"52","Butiama","Bukwabwa","rural","continuous","first_year",753,466.350123864575,283.306659785302,37.159372419488,29.7424616019819,13.4026729057712,64.9777862923205,150.625134875141,177.679583084885,348.512213087215,2.7046396127239,21.1573538856776,431.147920543704,60.162793441076,11.1808164523357,33.1481355455631,6.83731538890325,1805.402032787,2.39761226133732,894.939076869438,23.8619934984015,542.476981371582,1809.79026482664,2.4034399267286
"53","Butiama","Bukwabwa","rural","continuous","second_year",1103,683.113129644922,311.730457473163,37.159372419488,36.5112378199835,20.3949363473713,98.877128819158,129.726883177805,153.027703756354,325.567076610407,2.7046396127239,21.0992292870905,449.799707732568,0,5.73882321930818,11.0493785151877,2.27910512963442,1992.24861852612,1.80620908297926,1187.78626252409,23.8038688998144,468.867014596698,2006.02422263101,1.81869829794289
"54","Butiama","Bukwabwa","rural","continuous","third_year",618,382.741535920727,279.320622625929,37.159372419488,26.6448860445913,10.9786741061871,53.22594566474,160.088494134312,188.842698252522,348.931192386834,2.7046396127239,21.0992292870905,413.799707732568,0,5.73882321930818,11.0493785151877,2.27910512963442,1592.96847305228,2.57761888843411,790.071036781663,23.8038688998144,432.867014596698,1595.67311266501,2.58199532793691
"55","Butiama","Buruma","rural","pulsed","first_year",479,296.655656482246,246.592931461602,123.864574731627,23.2031354252684,9.54458119246415,46.2732890173412,161.088247945109,162.03230424847,323.120552193581,0,6.62074502247914,167.030713599585,3.53898784947505,0,28.7615262868154,5.9325094172758,1286.72419737128,2.68627181079599,746.134168310549,6.62074502247914,205.263737153151,1281.13920267976,2.67461211415399
"56","Butiama","Buruma","rural","pulsed","second_year",474,293.559042113956,245.208318744839,123.864574731627,13.8243649876136,9.03625432761416,43.8088586292321,150.892789214406,151.77709511882,302.669884333227,0,11.242774566474,154.824284438325,0,0,14.3807631434077,2.9662547086379,1170.98679173569,2.47043626948457,729.301413534882,11.242774566474,172.17130229037,1215.38537472495,2.5641041660864
"57","Butiama","Buruma","rural","pulsed","third_year",643,398.22460776218,270.988488852189,123.864574731627,29.6850990916598,12.1948565388262,59.1221458298928,189.635532391078,190.74688981149,380.38242220257,0,10.9929351316635,154.824284438325,0,0,14.3807631434077,2.9662547086379,1457.62643243098,2.26691513597353,894.079772806375,10.9929351316635,172.17130229037,1457.62643243098,2.26691513597353
"58","Butiama","Busegwe","rural","pulsed","first_year",293,181.461601981833,153.164540049546,74.318744838976,6.48196366639142,2.66795013303973,12.934546325351,99.4057226243554,99.9882890140873,199.394011638444,0,6.62074502247914,154.530713599584,3.53898784947505,0,8.62845788604459,1.77975282518274,811.107010507865,2.76828331231353,431.029346995137,6.62074502247914,168.477912160287,805.522015816347,2.74922189698412
"59","Butiama","Busegwe","rural","pulsed","second_year",191,118.290668868704,112.021762180017,74.318744838976,6.25251362510323,2.57596268770835,12.4885800165153,65.7607088130351,66.1460988862424,131.906807699278,0,11.242774566474,151.252855866896,0,0,8.62845788604459,1.77975282518274,630.758881060899,3.30240251864345,325.948232217023,11.242774566474,161.661066578123,630.758881060899,3.30240251864345
"60","Butiama","Busegwe","rural","pulsed","third_year",211,130.677126341866,103.648151940545,74.318744838976,6.65405119735757,2.74092736336667,13.2883488026425,70.3486652418515,70.7609429945849,141.109608236437,0,10.9929351316635,156.609998724039,0,0,17.2569157720892,3.55950565036548,660.856313999349,3.13202044549454,331.327350484754,10.9929351316635,177.426420146494,660.856313999348,3.13202044549454
"61","Butiama","Butiama","rural","pulsed","first_year",283,175.268373245252,166.878799339389,74.318744838976,6.42460115606938,2.64096662537848,12.8037270024773,102.464360243566,103.064851752982,205.52921199655,0,6.62074502247914,154.530713599584,3.53898784947505,0,8.62845788604459,1.77975282518274,824.548076078376,2.91359744197306,438.335212207542,6.62074502247914,168.477912160287,818.963081386858,2.89386247839879
"62","Butiama","Butiama","rural","pulsed","second_year",364,225.433526011561,167.735940545004,74.318744838976,3.04021304706854,1.24406931828608,6.03139917423618,114.69891072041,115.371102708562,230.070013428974,0,11.242774566474,151.252855866896,0,0,8.62845788604459,1.77975282518274,880.777747508703,2.41971908656237,477.803892935132,11.242774566474,161.661066578123,880.777747508703,2.41971908656237
"63","Butiama","Butiama","rural","pulsed","third_year",388,240.297274979356,154.021681255161,74.318744838976,3.15493806771264,1.28495699146711,6.22962758051199,129.992098816465,130.753916403037,260.746015219503,0,10.9929351316635,151.252855866896,0,0,8.62845788604459,1.77975282518274,912.707240642476,2.35233824907855,479.307223713185,10.9929351316635,161.661066578123,912.707240642475,2.35233824907854
"64","Butiama","Butuguri","rural","continuous","first_year",751,465.111478117258,0,37.159372419488,0,0,0,182.169665739045,214.889966977007,400.142131972742,2.7046396127239,21.1573538856776,449.147920543704,60.162793441076,11.1808164523357,33.1481355455631,6.83731538890325,1486.75195737947,1.97969634804191,502.270850536746,23.8619934984015,560.476981371582,1486.75195737947,1.97969634804191
"65","Butiama","Butuguri","rural","continuous","second_year",430,266.308835672998,197.662739884393,37.159372419488,8.54701403798515,3.89980420986635,18.9067245251858,77.6784072523632,91.6305703343516,184.892723828869,2.7046396127239,21.0992292870905,395.799707732568,0,5.73882321930818,11.0493785151877,2.27910512963442,1153.11400842128,2.68166048470066,532.484490749916,23.8038688998144,414.867014596698,1156.0480980753,2.68848394901232
"66","Butiama","Butuguri","rural","continuous","third_year",655,405.656482246078,260.209995871181,37.1593724194881,14.1685400495459,6.49139926445852,31.4710921552437,128.938269906207,152.097444159051,293.365711092017,2.7046396127239,21.0992292870905,449.799707732568,0,5.73882321930818,11.0493785151877,2.27910512963442,1507.57044391822,2.30163426552399,755.156882005995,23.8038688998144,468.867014596698,1541.19347659452,2.35296713983897
"67","Butiama","Bwiregi","rural","continuous","first_year",1236,765.483071841454,340.750298100744,49.5458298926508,25.4976358381503,13.6494522050953,66.1742023121389,243.287194287858,286.985085767995,549.281025472107,2.7046396127239,21.1573538856776,481.656591063936,72.5492509142389,12.0383436601268,38.6728248031569,7.97686795372045,2423.73348334452,1.96094942018165,1261.10049019023,23.8619934984015,612.893878395179,2447.13738755592,1.97988461776369
"68","Butiama","Bwiregi","rural","continuous","second_year",1319,816.886870355079,277.644251857969,49.5458298926507,24.5798356729976,10.9547935055204,53.1101696118911,160.482800770111,189.307828051173,410.755614120262,2.7046396127239,21.0992292870905,491.799707732568,0,5.73882321930818,11.0493785151877,2.27910512963442,2175.44360890016,1.64931281948458,1232.72175089611,23.8038688998144,510.867014596698,2178.14824851288,1.65136334231454
"69","Butiama","Bwiregi","rural","continuous","third_year",1571,972.956234516928,342.128647398844,49.5458298926508,49.9053839801818,26.079029911001,126.434304872007,140.373162344372,165.586208319945,399.975597993359,2.7046396127239,21.0992292870905,539.799707732568,0,5.73882321930818,11.0493785151877,2.27910512963442,2546.99127244876,1.62125478831875,1567.04943057161,23.8038688998144,558.867014596699,2549.69591206149,1.62297639214608
